parent_name,parent_smiles,child_name,child_smiles,source
acetaminophen,CC(O)=Nc1ccc(O)cc1,N-Acetyl-p-benzoquinone,CC(=O)N=C1C=CC(=O)C=C1,MetXBioDB
acetaminophen,CC(O)=Nc1ccc(O)cc1,3-Hydroxyacetaminophen,CC(O)=Nc1ccc(O)c(O)c1,MetXBioDB
pinoline,COc1ccc2[nH]c3c(c2c1)CCNC3,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",Oc1ccc2[nH]c3c(c2c1)CCNC3,MetXBioDB
1-(3-Trifluoromethylphenyl)piperazine,FC(F)(F)c1cccc(N2CCNCC2)c1,HO-TFMPP,Oc1ccc(N2CCNCC2)cc1C(F)(F)F,MetXBioDB
"2-Amino-3-methylimidazo(4,5-F)quinoline",Cn1c(=N)[nH]c2c3cccnc3ccc21,"N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",Cn1c(NO)nc2c3cccnc3ccc21,MetXBioDB
"5-Methoxy-N,N-diisopropyltryptamine",COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,5-OH-DIPT,CC(C)N(CCc1c[nH]c2ccc(O)cc12)C(C)C,MetXBioDB
"5-Methoxy-N,N-diisopropyltryptamine",COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,5-MeO-IPT,COc1ccc2[nH]cc(CCNC(C)C)c2c1,MetXBioDB
(R)-halothane,FC(F)(F)[C@H](Cl)Br,trifluoroacetic acid,O=C(O)C(F)(F)F,MetXBioDB
(R)-halothane,FC(F)(F)[C@H](Cl)Br,"2-chloro-1,1-difluoroethene",FC(F)=CCl,MetXBioDB
(R)-halothane,FC(F)(F)[C@H](Cl)Br,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)[CH-]Cl,MetXBioDB
"(R)-3,4-Methylenedioxymethamphetamine",CN[C@H](C)Cc1ccc2c(c1)OCO2,"N-Methyl-3,4- dihydroxyamphetamine",CN[C@H](C)Cc1ccc(O)c(O)c1,MetXBioDB
"(R)-3,4-Methylenedioxymethamphetamine",CN[C@H](C)Cc1ccc2c(c1)OCO2,"3,4-Methylenedioxymethamphetamine",C[C@@H](N)Cc1ccc2c(c1)OCO2,MetXBioDB
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",COC(=O)C1=C(C)NC(C)=C(C(=O)O)[C@H]1c1cccc([N+](=O)[O-])c1,OPC-13463,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1,MetXBioDB
Homo-Tienilic Alcohol,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,,O=C(c1ccc(O)s1)c1ccc(OCCCO)c(Cl)c1Cl,MetXBioDB
Homo-Tienilic Alcohol,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,,O=C(c1cccs1)c1ccc(O)c(Cl)c1Cl,MetXBioDB
(R)-1-(4-Methoxyphenyl)propan-2-amine,COc1ccc(C[C@@H](C)N)cc1,,C[C@@H](N)Cc1ccc(O)cc1,MetXBioDB
"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",CO[C@]12C[C@@H](CO)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,MDL,COC12CC(CO)CN(C)C1Cc1c[nH]c3cccc2c13,MetXBioDB
