index,log_lhs,target_smiles,sampled_molecules
0,"[-0.038756635, -4.7630114555, -4.9939785004, -5.7522296906, -5.8003296852, -6.175069809, -6.2659168243, -6.3851265907, -6.3924713135, -6.4530215263, -7.0859475136, -7.0991473198, -7.5848579407, -7.6367745399, -7.7968187332, -7.8494153023, -7.9367084503, -7.9608249664, -8.0440397263, -8.3858366013]",O=C(O)Cc1ccccc1,"['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'O=C(O)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CC(O)CC1CC2', 'CC(C)[N+]1([O-])C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CC(C)N1C2CCC1CC(O)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CC(OC(=O)C(CO)c3ccccc3)CC1CC2', 'CC(C)[N+]1(C)C2CC(O)CC1CC2O', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1)C2', 'O=C(OC1CC2CCC(C1)[N+]2(C)C(C)C)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C(=O)O)c1ccccc1)C2', 'CC(C)[n+]1c2ccccc2CC1OC(=O)C(CO)c1ccccc1', 'OCC(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]12CCC1CC(O)C2', 'O=C(OC1CC2CCC(C1)[N+]2(C)[O-])C(CO)c1ccccc1']"
0,"[-0.3089275658, -1.5696156025, -4.0797719955, -5.1758232117, -5.3766570091, -5.7008562088, -5.7577404976, -5.9271979332, -6.4794845581, -6.513736248, -6.7623958588, -7.0245041847, -7.260269165, -7.3123416901, -7.5636353493, -7.589035511, -7.6636571884, -7.7105150223, -7.8675208092, -8.2169933319]",CN1CCC23CCCCC2C1Cc1ccc(O)cc13,"['CN1CCC23c4cc(O)ccc4CC1C2CCCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23c4cc(O)ccc4CC(N(C)CC1)C2CCCC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC1C3CCCC2', 'CN1CCC23c4cc(O)ccc4CC2C1C3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'COc1ccc2c(c1)C13CCCCC1C(N)C2', 'CN1CCC23c4cc(O)ccc4CC(C2C1)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3O', 'CN1CCC23c4cc(O)ccc4CC(N(C)CC1)C3CCCC2', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(O)CC3', 'CN1CCC23c4cc(O)ccc4CC1C2CCCCC3', 'c1cc2c(cc1O)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC(C2C1C3', 'CN1CCC23c4cc(O)ccc4CC(C1C3)N(C)CC2', 'C[N+]1([O-])CCN(C)C2Cc3ccc(O)cc3C3(CCCC3)C12']"
0,"[-0.4241380095, -2.2274847031, -2.3785338402, -2.485550642, -5.1269898415, -5.6669249535, -5.9943327904, -6.0154466629, -6.1254520416, -6.3045573235, -6.305457592, -6.3686170578, -6.4511766434, -6.6500983238, -6.6667456627, -6.9586334229, -6.9750370979, -7.0666069984, -7.5637722015, -7.763630867]",O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=NC(c2ccccc2)(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1=NC(=O)C(O)N=C1c1ccc(O)cc1', 'O=C(C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1OC(OC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C(O)C1N=C(O)C(O)N=C1c1ccccc1', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=NC(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1', 'O=C(O)C1=NC(c2ccc(O)cc2)=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2N=C1O', 'O=C(C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O)O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2N=C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1=O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=NC(c2ccccc2)(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(OC2OC(C(=O)O)C(O)C(O)C2O)c2ccc(Cl)cc2C(c2ccccc2)=NC1O']"
0,"[-0.5638754964, -1.1015788317, -3.472086668, -3.8694369793, -4.5965013504, -4.7107644081, -4.8981537819, -5.2861227989, -5.4890213013, -6.1641778946, -6.299516201, -7.1217746735, -7.2169084549, -7.2815308571, -7.7115373611, -7.8608875275, -7.9230971336, -8.1877403259, -8.1899995804, -8.2866859436]",C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4)C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(O)c(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(=O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(OC)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C', 'C1CC2C3CCc4cc(O)ccc4C3CCC2(C)C1(O)C#C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C']"
0,"[-0.7065124512, -0.7795944214, -4.522084713, -5.0162787437, -5.2773256302, -5.5817995071, -5.9612426758, -6.3448176384, -6.7164530754, -6.8766274452, -6.9319119453, -7.0634512901, -7.2757959366, -7.6112551689, -7.6125731468, -7.7345399857, -7.7753858566, -7.8534493446, -7.9129462242, -7.9454712868]",Oc1ccc(C(F)(F)F)cc1,"['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'Oc1ccc(C(F)(F)F)cc1', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'N(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C(=O)O', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'N(C)(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'CN(CCC(=O)Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'c1ccc(C(F)(F)F)cc1', 'FC(F)(F)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1', 'O=C(O)NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'FC(F)(F)c1ccc(O)cc1', 'O=C(O)C1OC(NCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'O=CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'C(N)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'N(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C(O)CNC']"
0,"[-2.6092112064, -2.7671935558, -2.9819560051, -3.1365714073, -3.2254977226, -3.3485310078, -3.3524239063, -3.5188539028, -3.524731636, -3.8848173618, -3.956486702, -4.087269783, -4.1699819565, -4.2434859276, -4.2569327354, -4.2894473076, -4.3073363304, -4.3430504799, -4.3605313301, -4.8180975914]",Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,"['CC(O)CCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CC(O)CCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCO', 'CCCCCCCCCCCO', 'CCCCCCCCCCCCOCCC(=O)O', 'CCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCC(=O)O', 'CCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(NC2OC(C(=O)O)C(O)C(O)C2O)nc1=O', 'CCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(NC2OC(C(=O)O)C(O)C(O)C2O)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'CC(O)CCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCO', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)O', 'CC(O)CCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)O', 'Nc1ccn(CC(O)COP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCOCCCOP(=O)(O)COC(Cn1ccc(N)nc1=O)CO']"
0,"[-0.526492238, -1.7210326195, -2.4591264725, -2.6962995529, -3.5527849197, -3.9910306931, -4.6696367264, -5.8495779037, -6.6001787186, -6.8481163979, -6.9398603439, -7.0463995934, -7.0776963234, -7.0916728973, -7.0998764038, -7.1223316193, -7.2577009201, -7.3352012634, -7.6907911301, -7.7019433975]",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(=O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CCOC12', 'CC(=O)Oc1c(O)cc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)C1O']"
0,"[-1.6863895655, -1.9361064434, -2.8111829758, -3.1363966465, -3.3784608841, -3.6238393784, -3.6445326805, -3.8367278576, -4.1503787041, -4.1844124794, -4.1874270439, -4.2536706924, -4.2737784386, -4.3373031616, -4.5438361168, -4.583281517, -4.666176796, -4.6930713654, -4.7838792801, -6.3975982666]",CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCO', 'CC(O)C(C(=O)O)C(C)OC(=O)c1c(SC2CC[S+]([O-])C2)nc2c(C(C)O)c(=O)[nH]c12', 'CC(O)C(C(=O)O)C(C)OC(=O)c1c(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C(C)OC(=O)c1c(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]([O-])C2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)c1c(SC2CC[S+]([O-])C2)nc2c(C(C)O)c(=O)[nH]c12', 'CC(O)C(C(=O)O)C(C)OC(=O)c1c(SC2CC[S+]([O-])C2)nc2c(C(C)O)C(=O)N21', 'CC(O)C(C(=O)O)C(C)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C(O)COC(=O)c1c(SC2CC[S+]([O-])C2)nc2c(C(C)O)c(=O)[nH]c12', 'CC(O)C(C(=O)O)C(C)OC(=O)c1c(SC2CC[S+]([O-])C2)[nH]c2c(C(C)O)c(=O)[nH]c12', 'CC(O)C(C(=O)O)C(O)COC(=O)c1c(SC2CC[S+]([O-])C2)[nH]c2c(C(C)O)c(=O)[nH]c12', 'CC(O)C(C(=O)O)C(C)OC(=O)c1c(SC2CCS(=O)(=O)C2)sc2c(C(C)O)c(=O)[nH]c12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C(C)OC(=O)c1c(SC2CC[S+]([O-])C2)nc2c(C(C)O)c(=O)[nH]c3c1C(=O)N2']"
0,"[-1.118747592, -1.8345099688, -2.7154941559, -2.8991308212, -3.3104183674, -3.4094104767, -3.5199930668, -3.605815649, -3.7423350811, -3.9332771301, -4.0157027245, -4.2555193901, -4.3102374077, -4.913403511, -4.9405374527, -5.1116809845, -5.1247663498, -5.140818119, -5.3733115196, -6.7453517914]",CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13,"['Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23c4cc(O)c(O)cc4CC1C2CCCC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23c4cc(O)c(O)cc4CC2N(C)CCC3C1C5', 'CN1CCC23c4c5cc(O)c(O)cc5CC2N(C)CCC3C1C5', 'CN1CCC23c4cc(O)c(OS(=O)(=O)O)cc4CC1C2CCCC3', 'CN1CCC23c4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4CC1C2CCCC3', 'Oc1ccc2c(c1)CC1C3CCCCC3(CCN1)C2', 'O=C(O)C1OC(Oc2ccc3c(c2)C2CCCCC2C3)C(O)C(O)C1O', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CN1CCC23c4cc(OS(=O)(=O)O)ccc4CC1C2CCCC3', 'O=C(O)C1OC(Oc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)C(O)C(O)C1O', 'Oc1ccc2c(c1)C1CCCCC1C3', 'O=C(O)C1OC(Oc2ccc3c(c2)C23)C(O)C(O)C1O', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C1CCCCC1C1Cc3ccc(O)cc3C1C2', 'Oc1ccc2c(c1)CC1C3CCCCC32CCN1', 'CN1CCC23c4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4CC2N(C)CCC3C1C5', 'CN1CCC23c4c5cc(OC6OC(C(=O)O)C(O)C(O)C6O)ccc4CC1C3CCCC2']"
0,"[-0.6625733972, -0.9910715818, -3.4457387924, -3.7412903309, -4.6669650078, -4.8774523735, -4.9691777229, -5.0701537132, -5.7392334938, -6.4037966728, -6.4586091042, -6.5045056343, -6.5158324242, -6.5343704224, -6.6008443832, -6.9128565788, -7.0527071953, -7.2454738617, -7.2943310738, -7.4269790649]",O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,"['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1', 'O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1Nc2cc(O)c(Cl)cc2C(c2ccccc2)=NC1', 'O=C(O)C1OC(Oc2ccc(C3=NCC(=O)Nc4ccc(Cl)cc43)cc2)C(O)C(O)C1O', 'O=C1Nc2ccc(Cl)cc2C(c2cccc(O)c2)=NC1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(Oc2ccc3c(c2)C(c2ccccc2)=NCC(=O)N3)C(O)C(O)C1O', 'O=C(O)C1OC(ON2C(=O)Nc3ccc(Cl)cc3C(c3ccccc3)=NCC2=O)C(O)C(O)C1O', 'CC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(ON2c3ccc(Cl)cc3C(c3ccccc3)=NCC2=O)C(O)C(O)C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2O)=NC1', 'O=C1C(O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccco2)=NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)(O)C1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C(O)C1OC(ON2C(=O)C(O)N=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'O=C(O)C1OC(ON2C(=O)Nc3ccc(Cl)cc3C(c3ccccc3)=NC2O)C(O)C(O)C1O']"
