index,log_lhs,target_smiles,sampled_molecules
0,"[-0.1412090212, -3.0699133873, -3.6229014397, -4.6087970734, -4.7314972878, -5.1682157516, -5.2917203903, -5.6758670807, -5.7932090759, -5.9172363281, -6.2070713043, -6.2852005959, -6.3024706841, -6.8757805824, -6.9507098198, -7.3014073372, -7.3774442673, -7.5331263542, -7.9739313126, -8.0477962494]",O=C(O)Cc1ccccc1,"['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'O=C(O)C(CO)c1ccccc1', 'CN1C2CCC1CC(O)C2', 'C=C(C)[N+]1(C)C2CCC1CC(O)C2', 'C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'OCC(C(=O)O)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'CC(C)[N+]1(C)C2CC(O)CC1CC2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C2OC(C(=O)[O-])C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)N1C2CCC1CC(O)C2', 'CC(CO)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C2CCCCC2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(CO)C(=O)OC1CC2CCC(C1)[N+]2(C)C', 'C[N+]1(C(C)C)C2CCC1CC(O)C2']"
0,"[-1.0138914585, -1.1896377802, -2.2249391079, -2.7731904984, -3.7376358509, -4.1673398018, -4.4554443359, -4.6842803955, -4.6981453896, -4.7764906883, -4.9859099388, -5.0351696014, -5.2781362534, -5.5807156563, -5.5899887085, -5.6134939194, -5.7287492752, -5.9027619362, -6.0728259087, -6.2186250687]",CN1CCC23CCCCC2C1Cc1ccc(O)cc13,"['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23c4cc(O)ccc4CC(C2C1)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CN1CCC23c4cc(O)ccc4CC(C2C1)NC3', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC(C2CCCC3)N1C', 'CN1CCC23c4cc(O)ccc4CC(NC)C2CCCC3', 'CN1CCC23c4cc(O)ccc4CC(C2CCCC3)NCC1', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3O', 'CN1CCC23c4cc(O)ccc4CC(NC)C2C1CCCC3', 'CN1CCC23c4cc(O)ccc4CC(C2C1)N(C)CC3O', 'CN1CCC23CCCCC2c2cc(O)ccc2CC13', 'CN1CCC23c4cc(O)ccc4CC(C2C1)NCC3', 'CN1CCC23c4cc(O)ccc4CC2C1C3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1cc(O)c2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O']"
0,"[-0.3775444329, -2.129196167, -3.2163476944, -3.7304003239, -3.7679216862, -4.216796875, -4.3621144295, -4.6542887688, -4.9278559685, -5.1290464401, -5.2199020386, -5.3352947235, -5.3501319885, -5.691341877, -6.0838413239, -6.1717352867, -6.5152058601, -6.5958194733, -6.6069617271, -6.8661093712]",O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2cccc(O)c2)c2cc(Cl)ccc2NC1=O', 'Nc1ccc(C2=NC(C(=O)O)C(=O)Nc3ccc(Cl)cc32)cc1', 'O=C(O)C1=NC(c2ccc(O)cc2)=Nc2ccc(Cl)cc21', 'NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2O)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)CC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N(O)C1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'O=C(O)C1N=C(c2cc(O)ccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'O=C(O)C1=NC(c2ccccc2)=Nc2ccc(Cl)cc21', 'Nc1ccc(C(=O)C2N=C(C(=O)O)C(=O)Nc3ccc(Cl)cc32)cc1', 'Nc1ccc(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1']"
0,"[-0.5282558799, -2.06240201, -2.9229333401, -2.9681880474, -3.3239469528, -3.7697911263, -3.8048839569, -4.1487717628, -4.3110365868, -4.3715624809, -4.7398552895, -5.1668944359, -5.4053182602, -5.45225811, -5.5810904503, -5.6433582306, -5.7904276848, -6.0079474449, -6.6863446236, -6.915251255]",C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4)C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(O)c(OC)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5cc(O)c(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)C=CC4C3CCC21C']"
0,"[-0.783290863, -0.9672669768, -3.1182384491, -3.5119848251, -4.4653320312, -4.7114682198, -4.801472187, -4.8084259033, -4.8843622208, -5.1365203857, -5.1878838539, -6.1695556641, -6.1979937553, -6.5202560425, -6.9205069542, -6.9809851646, -7.0355415344, -7.0680027008, -7.4226918221, -7.8681502342]",Oc1ccc(C(F)(F)F)cc1,"['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'Oc1ccc(C(F)(F)F)cc1', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'OCCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'N=C(N)NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'FC(F)(F)c1ccc(O)cc1', 'C[N+]([O-])(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'c1ccc(C(CCN)Oc2ccc(C(F)(F)F)cc2)cc1', 'O=C(O)C1OC(NCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'C=C(CCNC)Oc1ccc(C(F)(F)F)cc1', 'CN1CCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc21', 'CN(CCO)C(CC=Cc1ccc(C(F)(F)F)cc1)c1ccccc1', 'N(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O']"
0,"[-1.7320762873, -1.8522152901, -2.3151695728, -2.939217329, -3.1843855381, -3.3112919331, -3.3490738869, -4.0297904015, -4.2006592751, -4.3011369705, -4.4447655678, -4.4660096169, -4.7129330635, -4.8313031197, -4.931312561, -4.941757679, -5.0309619904, -5.1125574112, -5.1786394119, -5.2266483307]",Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,"['Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOCCCCCCCCCC)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)CCCOCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)OCCCCCCCCCCCO)c(=O)n1', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)OCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCOCCCOP(=O)(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOP(=O)(O)COCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCOP(=O)(O)COCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)COCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCOCCCOP(=O)(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC1OC(C(=O)O)C(O)C(O)C1O']"
0,"[-0.8163145781, -1.6465649605, -2.2241344452, -2.5731551647, -3.2367486954, -3.3310451508, -4.724855423, -4.9715008736, -5.0710697174, -5.2180762291, -5.2742390633, -5.31046772, -5.4052505493, -5.4560494423, -5.5621361732, -5.6843810081, -5.7127370834, -5.8173880577, -5.9860072136, -6.0413899422]",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)C(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)C(O)CC12', 'CC(O)=O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)C(O)CC12', 'CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)COC12', 'CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O']"
0,"[-0.8557856083, -1.6539349556, -2.5090961456, -3.2991774082, -3.6109731197, -3.6665558815, -3.6947448254, -3.9278037548, -4.3166413307, -4.5523533821, -4.7121663094, -4.8251042366, -5.3177704811, -5.3799648285, -5.4438862801, -5.5488405228, -5.5732951164, -5.6712369919, -5.8168706894, -5.9044938087]",CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCO', 'CCC(CC)C(=O)O', 'CC(O)C(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(CO)C(=O)NC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)=C(C(=O)O)N1C=O', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)=C(C(=O)O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)C(C(=O)O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]([O-])C2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)C(C(=O)O)N1C=O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)C(C(=O)O)=N1', 'CC(O)C(C)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CC(O)C(C)C(=O)N1C(=O)C(C(C)O)SC1C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)=N12', 'CC(O)C(CO)C(=O)N1C(=O)C(C(C)O)SC12', 'CC(O)C(CO)C(=O)N1C(=O)C(C(C)O)SC1SC1CC[S+]([O-])C1', 'CC(O)C(CO)C(=O)NC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12']"
0,"[-1.2173243761, -1.2899788618, -2.693603754, -3.7888860703, -3.8708465099, -4.1962504387, -4.2489666939, -4.261302948, -4.2825498581, -4.3367958069, -4.6699309349, -4.7572908401, -4.7750415802, -4.8531527519, -4.9990596771, -5.09917593, -5.1462059021, -5.3246641159, -5.3855309486, -5.8713936806]",CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13,"['Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'Oc1ccc2c(c1)CC1C3CCCCC32CCN1', 'Oc1ccc2c(c1)C1CCCCC1C1C(O2)C(O)CCC1', 'CN1CCC23c4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4CC1C2CCCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23c4cc(O)c(O)cc4CC1C2CCCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C1CCCCC1C1Cc3ccc(O)cc3C21', 'CN1CCC23c4cc(O)c(OS(=O)(=O)O)cc4CC1C2CCCC3', 'Oc1ccc2c(c1)C1CCCCC1C1C(O)CCCC1C2', 'CN1CCC23c4cc(OS(=O)(=O)O)ccc4CC1C2CCCC3', 'CN1CCC23c4cc(O)c(O)cc4CC(N(C)CC2)C3C1', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2CC13', 'Oc1ccc2c(c1)C1CCCCC1C1C(C2)NCCC2OC21', 'COc1ccc2c(c1)C1CCCCC1C1C(C2)N(C)CCC13', 'CN1CCC23CCCCC2c2cc(O)c(O)cc2C13', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2C13']"
0,"[-0.1972521394, -2.8990674019, -3.3019044399, -3.9392859936, -4.8962430954, -4.9287977219, -4.9556126595, -5.1387829781, -5.6103315353, -5.9770202637, -6.0734562874, -6.0995631218, -6.2436103821, -6.4215979576, -6.5094604492, -6.5793862343, -6.6649265289, -6.8971414566, -6.9251379967, -7.0279407501]",O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,"['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1', 'Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1C(O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O', 'O=C(O)C1OC(OC2Nc3ccc(Cl)cc3C(c3ccccc3)=NC2O)C(O)C(O)C1O', 'O=C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'CC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2cccc(O)c2)=NC1O', 'CC(=O)N1c2ccc(Cl)cc2C(c2ccccc2)=NCC1=O', 'CC(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1', 'O=C1Nc2c(O)cc(Cl)ccc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2O)=NC1O']"
