index,log_lhs,target_smiles,sampled_molecules
0,"[-0.261518538, -2.8552472591, -3.12895751, -3.2476866245, -3.5573921204, -5.6307134628, -5.9915332794, -6.1805934906, -6.564842701, -6.6452665329, -6.774928093, -7.1776995659, -7.2874493599, -7.433701992, -7.5183897018, -7.6014547348, -7.7206821442, -7.7275233269, -7.8171057701, -9.5097875595]",O=C(O)Cc1ccccc1,"['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C)c1ccccc1)C2', 'C[N+]1(C)CC2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+](C)(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CCN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'O=C(OC1CN2CCC1CC2)C(CO)c1ccccc1', 'CC(C)[N+](C)(C)CCOC(=O)C(CO)c1ccccc1', 'CC[N+]1(C)CC2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'CC(C)[N+](C)(C)CC(OC(=O)C(CO)c1ccccc1)C(C)(C)C', 'CC(C)[N+](C)(C)C1CC(OC(=O)C(CO)c2ccccc2)C2CCC12', 'CC[N+]1(CCOC(=O)C(CO)c2ccccc2)CCCCC1', 'C[N+]1(C)C(COC(=O)C(CO)c2ccccc2)CCCC1', 'CC(C(=O)OC1C2CCC1CC(O)(C1CCC1)[N+]2)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COc1ccccc1)c1ccccc1)C2', 'CC(C)[N+](C)(C)CC(OC(=O)C(CO)c1ccccc1)C1CCCCC1']"
0,"[-1.6241831779, -1.7461653948, -1.9392536879, -2.1136858463, -2.2400400639, -3.042989254, -4.0128960609, -4.120850563, -4.1505527496, -4.3907413483, -4.7377309799, -4.8399715424, -5.0096302032, -5.0354866982, -5.0569624901, -5.0991768837, -5.1176362038, -5.2228198051, -5.5921187401, -5.6571273804]",CN1CCC23CCCCC2C1Cc1ccc(O)cc13,"['COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccccc13', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'CCCCCCCCCCOc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1']"
0,"[-1.7383249998, -2.0980746746, -2.1814801693, -2.6051149368, -3.1780591011, -3.5459477901, -3.5914607048, -3.6292660236, -3.968978405, -4.097589016, -4.3900575638, -4.4196825027, -4.6172738075, -4.6786365509, -4.7247467041, -4.8187971115, -4.8588452339, -5.1645317078, -5.1652588844, -5.5163311958]",O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'O=C(O)CCNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'COc1ccc(NC(=S)N2CC(c3ccccc3)=NC2C(=O)O)cc1', 'N#CCNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(NCCCN1CCCC1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)CCN1C(=O)C(c2ccccc2)N=C(c2ccccc2)c2cc(Cl)ccc21', 'COc1ccc(NC(=S)N2CC(c3ccccc3)=NC(C(=O)O)C2)cc1', 'CN(C)CCCNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)CN1C(=O)C(c2ccccc2)N=C(c2ccccc2)c2cc(Cl)ccc21', 'COc1ccc(NC(=S)N2CC(c3ccccc3)=NC2C(=O)NC2=O)cc1', 'CCN(CC)CCOC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Cc1ccccc1)NC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'N#Cc1cccc(NC2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)c1', 'O=C(NCCCN1CCOCC1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Cc1ccccc1)NC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(Nc1ccccc1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'N#Cc1cccc(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c1', 'COc1ccc(NC(=S)N2CC(c3ccccc3)=NC2C(=O)Nc2ccc(Cl)cc22)cc1']"
0,"[-0.7944875956, -1.0216891766, -3.9232859612, -4.2021055222, -4.2958292961, -4.9739542007, -4.9805307388, -5.2813911438, -5.7094593048, -6.2232599258, -6.281750679, -6.3850884438, -6.4912371635, -6.6340761185, -6.8143320084, -6.9245662689, -7.0104656219, -7.5521707535, -8.1206741333, -9.1109762192]",C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(OC)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCc5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCC#C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccc(O)cc5)ccc4C3CCC21C', 'C#CC1(O)CCC23CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cccc(O)c4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(NCCc5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCC#CCN)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC12C', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C#C', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC12C', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC#Cc2ccccc21', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC#Cc2ccc(-c3ccccc3)cc21', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC#Cc2ccc(-c3cncnc3)cc21']"
0,"[-1.1900327206, -2.2251791954, -2.953690052, -2.9681634903, -3.0741405487, -3.1793520451, -3.1855721474, -3.4631733894, -3.806593895, -3.9304645061, -4.1372599602, -4.3095197678, -4.5146474838, -4.6623878479, -4.8755269051, -4.9547371864, -4.9648575783, -4.9990749359, -5.1492843628, -5.4516940117]",Oc1ccc(C(F)(F)F)cc1,"['CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'CNCCC(c1ccccc1)n1c(=O)n(C)c2ccccc21', 'CNCCC(Oc1ccccc1C)c1ccccc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccccc1OC)c1ccccc1', 'CNCCC(Oc1cc(Cl)ccc1C#N)c1ccccc1', 'CNCCC(c1ccccc1)n1ccc2ccccc21', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(c1ccccc1)n1c(=O)sc2ccccc21', 'NCCC(Oc1cccc2ccccc12)c1ccccc1', 'CNCCC(Oc1ccc(Cl)cc1)c1ccccc1', 'CNCCC(Oc1ccc(OC)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C#N)cc1C)c1ccccc1', 'NCCC(Oc1ccccc1C(F)(F)F)c1ccccc1', 'CNCCC(Oc1ccccc1Cl)c1ccccc1', 'NCCC(Oc1ccc(Cl)cc1)c1ccccc1', 'CNCCC(c1ccccc1)n1c(=O)c2ccccc21', 'CNCCC(Oc1ccc(Cl)cc1C)c1ccccc1', 'CNCCC(c1ccccc1)n1cc(C)c2ccccc21', 'FC(F)(F)c1ccc(OCCCN2CCCCC2)cc1']"
0,"[-0.9802771211, -1.1673829556, -2.9527306557, -3.5994107723, -3.600892067, -3.648209095, -4.0753455162, -4.1697134972, -4.3077721596, -4.7695655823, -5.0600457191, -5.2098975182, -5.460170269, -5.5661411285, -5.7155089378, -5.7508282661, -5.8937721252, -5.923784256, -6.5937867165, -7.9068336487]",Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,"['CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOc1ccc(S(=O)(=O)O)cc1C(=O)O', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCC1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOc1ccc(S(=O)(=O)O)cc1C(=O)OCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOCCCOP(=O)(O)OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(C(N)=O)cc1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCC[n+]1ccc(C(N)=O)cc1', 'CCCCCCCCCCCCCCCCOc1ccc(S(=O)(=O)O)cc1C=O', 'CCCCCCCCCCCCCCCCOc1ccc(S(=O)(=O)O)cc1C(=O)OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOc1ccc(S(=O)(=O)O)cc1C(=O)OCC1OC(CO)COP(=O)(O)CO']"
0,"[-0.9772979021, -2.8641171455, -3.0252742767, -3.2295687199, -3.269769907, -3.3416993618, -3.4421815872, -3.5462684631, -3.5512640476, -3.578430891, -4.2093634605, -4.3241400719, -4.3450231552, -4.5718665123, -4.6965885162, -5.0494008064, -5.1634011269, -5.3358740807, -5.4856405258, -6.0497255325]",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCCO)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COC(=O)COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OCCOc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCCOCCO)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCCCO)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC13CCC2(C)C(O)CCC13', 'COC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COC(=O)COc1ccc2c(c1)CCC13CCC2(C)C(O)CCC13', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'COC(=O)Oc1ccc2c(c1)CCC13CCC2(C)C(O)CCC13', 'CNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(C)C(O)COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCO2', 'CC12CCC3c4ccc(OCCCCCCC(=O)O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCO2', 'CC12CCC3c4ccc(OCCOc5ccccc5)cc4CCC3C1CCO2']"
0,"[-2.1118061543, -3.084100008, -3.3533909321, -3.429267168, -3.5058717728, -3.6458301544, -3.8352274895, -4.1126899719, -4.2981228828, -4.3158979416, -4.3641028404, -4.4235930443, -4.4346795082, -4.6667146683, -5.0197415352, -5.1570520401, -5.197180748, -5.2073984146, -5.2326588631, -5.3328528404]",CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,"['CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCS(=N)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCS(=O)(=O)CC2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCS(=N)(=O)CC2)SC2C(C(C)O)C(=O)N12', 'CCCCCCCCCCSC1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCS([N+](=O)[O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCSC2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=N)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS([N+](=O)[O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)CC2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCCC2)SC2C(C(C)O)C(=O)N12', 'CC(=O)OCC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCCCCC(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2(C(C)O)C(=O)N12']"
0,"[-1.3212805986, -1.9108983278, -1.9904690981, -2.6261730194, -3.2866137028, -3.5009503365, -3.7437241077, -3.9732918739, -4.1151580811, -4.1777243614, -4.201128006, -4.6497759819, -4.6636276245, -4.8103160858, -4.904440403, -4.9549880028, -5.037399292, -5.081138134, -5.1385736465, -7.0184183121]",CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13,"['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CCNC(=N)Nc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccccc13', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CNC(=O)Nc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(-c2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OCc2ccccc2)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCC1)CC3', 'CCNC(=O)Nc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CNC(=N)Nc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(-c2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(-c2cccc(C(=O)NCc4ccc(O)cc4)c2)cc13']"
0,"[-1.0872217417, -3.4323596954, -3.4359095097, -3.8004152775, -3.908421278, -4.3024291992, -4.458884716, -4.7406463623, -4.8021464348, -5.0306506157, -5.0535726547, -5.2337827682, -5.2776045799, -5.3810119629, -5.4190673828, -5.5137224197, -5.5656509399, -5.6124253273, -5.9466748238, -6.142015934]",O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,"['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'CN(C)CCCN1CCN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'COc1ccc(CCCN2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)cc1', 'COc1ccc(NC2=NC(c3ccccc3)c3cc(Cl)ccc3N2)cc1', 'CN(C)CCCNC1=NC(c2ccccc2)c2cc(Cl)ccc2N1', 'CN1CCN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'CN(C)CCCNC(=O)C1=NC(c2ccccc2)c2cc(Cl)ccc2N1', 'CN(C)CCCN1CCN=C(c2ccccc2)c2cc(Cl)ccc21', 'NC(=S)N1CCN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'CSc1ccc(C=C2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)cc1', 'COc1ccc(CSC2=NC(c3ccccc3)c3cc(Cl)ccc3N2)cc1', 'CN(C)CCCN1CCN(C2=NC(c3ccccc3)c3cc(Cl)ccc3N2)CC1', 'COc1ccc(NC2=CN(c3ccccc3)C(=O)c3ccc(Cl)cc32)cc1', 'CS(=O)(=O)c1ccc(NC2=NC(c3ccccc3)c3cc(Cl)ccc3N2)cc1', 'O=C1CN=C(c2ccccc2)c2ccc(Cl)cc2N1', 'CN(C)CCCN1CCN(C2=C(c3ccccc3)c3cc(Cl)ccc3N2)CC1', 'CN(C)CCCNC(=S)N1CCN=C(c2ccccc2)c2cc(Cl)ccc21', 'CS(=O)(=O)c1ccc(NC2=NC(=O)C(c3ccccc3)c3cc(Cl)ccc3N2)cc1', 'COc1ccc(CCCN2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc3N2)cc1', 'CCN(CC)CCCNC1=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O']"
