index,log_lhs,target_smiles,sampled_molecules
0,"[-0.27029562, -2.2919068336, -3.2084269524, -4.0272545815, -4.2652788162, -4.3998217583, -4.5748176575, -4.8616199493, -5.258898735, -5.389840126, -5.4418182373, -6.13931036, -6.5706090927, -6.8091015816, -7.0291948318, -7.0918097496, -7.1489319801, -7.2022471428, -7.3673362732, -7.4766874313]",O=C(O)Cc1ccccc1,"['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'C=C(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]1([O-])C2CCC1CC(O)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(O)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1)CC2O', 'CC(C)[N+]12CCC(CC1)CC(O)C2', 'CC(C)[N+]1(C2CC3CCC(C2)[N+]3(C)[O-])CCCC1C', 'CC(C)[N+]1(C2CC3CCC(C2)[N+]3([O-])C(C)C)CCCC1', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC2', 'CC(C)[N+]12CCC(CC1)CC2', 'CC(C)[N+]1(C2CC3CCC(C2)[N+]3([O-])C(C)C)CCCC1C', 'CC(C)[N+]1(C)C2CC(O)CC1CC2', 'CC(C)[N+]1(C2OC(C(=O)[O-])C(O)C(O)C2O)C2CCC1CC(O)C2', 'O=C(O)C(CO)c1ccccc1', 'C=C(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C2OC(C(=O)[O-])C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1CC(O)C2)C2(C)C', 'CC(C)[N+]1(C2(C)CCC(C1)C2)[O-]']"
0,"[-0.6072902083, -1.1344487667, -3.4925048351, -4.3256583214, -4.6377391815, -4.6842255592, -4.7407979965, -4.9649000168, -5.0864200592, -5.2266726494, -5.5553917885, -5.8650102615, -5.9157085419, -5.9956870079, -6.064740181, -6.1483612061, -6.4057893753, -6.4489951134, -6.660507679, -6.7842993736]",CN1CCC23CCCCC2C1Cc1ccc(O)cc13,"['CN1CCC23c4cc(O)ccc4CC1C2CCCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23c4cc(O)ccc4CC(C2)N(C)CC3)C1C5', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC(C2CCCC3)N(C)CC1', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC3C1Cc1ccc(O)cc12', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23c4cc(O)ccc4CC(C2C1)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC2C1CCCC3', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC(C2)N(C)CC3)C1C3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NC(O)C3', 'CN1CCC23c4ccc(O)cc4CC1C2CCCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'COc1ccc2c(c1)C13CCCCC1C(C2)NC(C)C3', 'CN1CCC23c4cc(O)ccc4CC2C1C3', 'CN1CCC23c4cc(O)ccc4CC1C2)CCCC3', 'CN1CCC23c4ccc(O)cc4CC(C2)N(C)CC3)C1C5']"
0,"[-0.5350735784, -1.6126284599, -2.5146813393, -2.7483248711, -3.9052455425, -5.1541676521, -5.2106795311, -5.6530861855, -5.6625623703, -6.23011446, -6.7832779884, -6.9920763969, -6.9957232475, -7.047973156, -7.0522227287, -7.0666613579, -7.090385437, -7.1403808594, -7.1703886986, -7.6688733101]",O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,"['O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)C(O)C(O)C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1OC(OC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)C(O)C(O)C1O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)C(O)C(O)C1O', 'O=C(O)C1OC(ON=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1OC(OC2C(=O)Nc3ccc(Cl)cc3C(c3ccccc3)=N2)C(O)C(O)C1O', 'OC(=O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'OC(=O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)C(O)C(O)C1O', 'Nc1ccc(C2=NC(C(=O)O)C(=O)Nc3ccc(Cl)cc32)cc1', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1OC(C(=O)O)C(=O)Nc2ccc(Cl)cc21', 'O=C(O)C1=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1OC(OC(C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c2ccccc2)C(O)C(O)C1O', 'O=C(O)C1OC(OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1OC(=O)C1N=C(c1ccccc1)c1cc(Cl)ccc1N']"
0,"[-0.4280364215, -1.8035612106, -2.3135697842, -3.5939288139, -4.0080151558, -4.708902359, -5.3972806931, -5.5672883987, -5.7009339333, -6.1284375191, -6.461874485, -6.4734778404, -6.5773172379, -6.5859498978, -6.6497502327, -6.7683997154, -6.8677887917, -6.9407172203, -7.9365401268, -8.1137809753]",C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(O)c(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(O)c(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(OC)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5cc(O)ccc5C4C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5cc(O)ccc5CC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)c(OC)c5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)c(O)c5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)C(CO)CC4C3CCC21C']"
0,"[-0.4285561144, -1.1196738482, -5.3325796127, -5.5193991661, -5.6230692863, -5.7082190514, -6.232008934, -6.4940981865, -8.1393909454, -8.6220302582, -8.679558754, -9.0173301697, -9.0952682495, -9.1620407104, -9.2176322937, -9.2740402222, -9.3370733261, -9.6470804214, -9.6549549103, -9.6608352661]",Oc1ccc(C(F)(F)F)cc1,"['CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'Oc1ccc(C(F)(F)F)cc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1)C1OC(C(=O)O)C(O)C(O)C1O', 'C[N+](C)([O-])CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)[O-])C(O)C(O)C1O', 'c1ccc(C(CCN)Oc2ccc(C(F)(F)F)cc2)cc1', 'c1ccc(C(F)(F)F)cc1', 'C(N)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'c1ccc(C(CCNCO)Oc2ccc(C(F)(F)F)cc2)cc1', 'CN(CCC(=O)Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'c1ccc(C(Oc2ccc(C(F)(F)F)cc2)CCN)cc1', 'C(CCN)(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'C[N+](C)(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'C(CN)C(Oc1ccc(C(F)(F)F)cc1)c1ccccc1']"
0,"[-2.4662203789, -2.7224235535, -2.8855266571, -2.966571331, -2.9825921059, -3.2736735344, -3.4680519104, -3.5266001225, -3.9235680103, -4.2088603973, -4.2348442078, -4.3497180939, -4.5227680206, -4.528178215, -4.5624222755, -4.5706124306, -4.584253788, -4.6023416519, -4.6238303185, -4.6292448044]",Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,"['Nc1ccn(CC(CO)OCCCO)c(=O)n1', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(=N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)OCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(=N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)OCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(=N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCO', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(=N)nc1=O)O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(=N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCCOCC(O)C(=O)O', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCCO', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)O']"
0,"[-0.3712002337, -2.0125000477, -2.8091368675, -3.6659429073, -3.7198531628, -3.8853981495, -4.1949620247, -4.7786955833, -5.8660211563, -5.8805866241, -5.92719841, -6.6220812798, -7.0590224266, -7.3700351715, -7.3986639977, -7.4821038246, -7.7513904572, -7.8198032379, -7.8743896484, -8.1720581055]",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC12CCC3c4cc(O)ccc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C((OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O(=O)c3ccco3)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)C12', 'CC12CC(O)C3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OO)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)C(C)C)CCC12']"
0,"[-1.1052081585, -1.2172317505, -3.4526767731, -3.5608344078, -3.5969400406, -4.374083519, -4.5785870552, -4.729850769, -4.7834477425, -4.8069396019, -5.0360760689, -5.0735111237, -5.3279690742, -5.3610806465, -5.3892350197, -5.3903784752, -5.3908963203, -5.4212555885, -5.9324650764, -7.628569603]",CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CC(O)C1C(C)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CC(O)C(C(C)O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(C)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21', 'CC(O)C(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CC(=O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[N+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CCC(C)(O)C1', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CC[N+](C)([O-])C1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2CCC(C(C)O)N12', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2CCC(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2CC(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)c1c[nH]c(SC2CC[S+]([O-])C2)c1C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CC2C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CCC(=O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)C(SC2CC[S+]([O-])C2)C(C(C)O)C(=O)N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(O)C2O)C(C)C1=O']"
0,"[-0.9510715008, -1.2757083178, -3.1814854145, -3.5520143509, -3.8661818504, -4.1057815552, -4.129711628, -4.1670913696, -4.3505115509, -4.5523328781, -4.6474318504, -4.6922497749, -4.7796554565, -4.8344712257, -5.0758547783, -5.1911292076, -5.4370822906, -5.6973400116, -5.7461895943, -5.8025398254]",CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13,"['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1C2', 'Oc1ccc2c3c1CC1CCCCC31', 'Oc1ccc2c(c1)C1CCCCC1C1CCNC21', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'CN1CCC23CCCCC3C1Cc1ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc12', 'Oc1ccc2c(c1)CC1C3CCCCC32', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'Oc1ccc2c3c1CC1CCCCC1C3', 'Oc1ccc2c(c1)C1CCCCC1C1CCNCC21', 'CN1CCC23c4cc(O)c(O)cc4CC1C2CCCC3', 'CN1CCC23c4ccc(O)cc4CC2C1C3', 'CN1CCC23c4cc(O)c(O)cc4CC2C1Cc1ccc(O)cc13', 'CN1CCC23c4cc(O)c(O)cc4CC2C1C3', 'CN1CCC23CCCCC2c2cc(O)c(O)cc23)C1Cc1ccc(O)cc13', 'CN1CCC23c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CC2C1CCCC3', 'CN1CCC23c4cc(O)c(OS(=O)(=O)O)cc4CC2C1Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1C(O2)C(=O)OC2', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2C3)C1Cc1ccc(O)cc13']"
0,"[-0.4373580217, -1.3852792978, -3.0082070827, -4.2362132072, -4.9854507446, -5.0783038139, -5.4442110062, -5.4939675331, -5.9896287918, -6.2941226959, -6.497045517, -6.666200161, -6.8235197067, -7.1888666153, -7.2005391121, -7.474501133, -7.596321106, -7.8664631844, -8.061217308, -8.2255191803]",O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,"['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1C(O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)C(O)C(O)C1O', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'CC1OC1c1ccccc1', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'NC(CCC(=O)NC(CSC1CN=C(c2ccccc2)c2cc(Cl)ccc2NC1=O)C(=O)NCC(=O)O)C(=O)O', 'NC(CCC(=O)NC(CSC1C(=O)Nc2ccc(Cl)cc2C1c1ccccc1)C(=O)NCC(=O)O)C(=O)O', 'Clc1ccc2c(c1)C(c1ccccc1)=NC(O)C(=O)N2', 'NC(CCC(=O)NC(CSC1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc2N1)C(=O)NCC(=O)O)C(=O)O', 'OC1=Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1', 'CC(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1', 'O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1', 'C1(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'CC(=O)Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'C1(O)=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1']"
