index,log_lhs,target_smiles,sampled_molecules
0,"[-1.8584654331, -2.2789828777, -4.1492486, -4.8136425018, -4.9040584564, -5.0794606209, -5.1071414948, -5.2563285828, -5.3804326057, -5.5142002106, -5.6648411751, -5.9680361748, -5.9743523598, -5.9803733826, -6.3861665726, -6.5966939926, -6.6045966148, -6.6123423576, -6.9122633934, -6.9493517876]",O=C(O)Cc1ccccc1,"['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CN)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+](C)(C)CCOC(=O)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1)C(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1CC2', 'CC(c1ccccc1)N1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'OCC(C(=O)OC1CC2CCC(C1)[N+]2(C)C)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)C(c1ccccc1)CO)C2', 'O=C(OC1CC2CCC(C1)[N+]2(C)C)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)N(C)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C)(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(c1ccccc1)CO)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccsc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)(c1ccccc1)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(O)c1cccs1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)(c1ccccc1)CO)C2']"
0,"[-2.7118082047, -3.5464837551, -3.7908365726, -4.4183359146, -4.5250058174, -4.6251311302, -4.6619067192, -4.6998319626, -4.7934541702, -4.8957080841, -5.2225136757, -5.3428821564, -5.4481263161, -5.4642477036, -5.5073757172, -5.5327444077, -5.552634716, -5.573600769, -6.6552286148, -6.8788323402]",CN1CCC23CCCCC2C1Cc1ccc(O)cc13,"['COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCO1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(I)cc2)cc13', 'CCCCCCCCCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3', 'COc1ccc(CC(=O)Oc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCN1C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CCc1ccc(OC)cc1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CCCCCCCCC)CC3']"
0,"[-1.9760910273, -4.1295204163, -4.9533801079, -5.6426215172, -5.6574316025, -5.7220983505, -5.8383312225, -5.8668603897, -5.9014253616, -5.9330496788, -5.9559726715, -5.9640874863, -6.022629261, -6.1039185524, -6.4395794868, -6.5470728874, -6.8858547211, -7.1563196182, -7.1839346886, -7.321287632]",O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'NC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CN1CCN(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'O=C1C(C(O)=O)N=C(c2ccccc2)c2c(ccc(Cl)c2)N1', 'O=C1C(C(=O)O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1C(C(O)=O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)NCCN1CCOCC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(O)=O', 'O=C(O)C1N=C(c2ccccc2)c2c(ccc(Cl)c2)NC1=O', 'c1cc(C2=NC(C(O)=O)C(=O)Nc3ccc(Cl)cc32)ccc1', 'c1(C2=NC(C(O)=O)C(=O)Nc3ccc(Cl)cc32)ccccc1', 'c1c(C2=NC(C(O)=O)C(=O)Nc3ccc(Cl)cc32)cccc1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)NCCCN1CCOCC1', 'Cc1ccc(S(=O)(=O)NC2C(=O)Nc3ccc(Cl)cc3C(c3ccccc3)=N2)cc1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)NCCN1CCCCC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCC(N2CCCCC2)CC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)Nc1ccccc1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCN(c2ccccc2)CC1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)Nc1ccccc1C(=O)O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)N1CCC(N2CCCC2)CC1']"
0,"[-2.1566281319, -3.0203416348, -3.8622646332, -4.1270427704, -4.3654642105, -4.4162473679, -4.6863384247, -4.8606538773, -4.9682278633, -4.9772233963, -5.2896680832, -5.2920780182, -5.3053846359, -5.4243764877, -5.6534523964, -5.6611485481, -5.6842098236, -5.6946811676, -5.9294137955, -6.0464897156]",C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5cccnc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCC(=O)O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5)ccc4C3CCC21C', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2(O)C#C', 'C#CC1(O)CCC2C3CCc4cc(N(C)C)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCO)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccncc5)ccc4C3CCC21C', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)(C#C)CCC12', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCCBr)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCBr)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCc5ccccc5)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC12C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCCC(=O)O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OCCCCCCCC(=O)O)ccc4C3CCC21C']"
0,"[-3.5309486389, -3.7329454422, -3.8687558174, -3.9967873096, -4.0096116066, -4.0550265312, -4.5219621658, -4.804828167, -5.0885415077, -5.0935101509, -5.1659760475, -5.3308362961, -5.3571791649, -6.0065870285, -6.0775036812, -6.3490300179, -6.3789520264, -7.1427249908, -7.4572405815, -7.649512291]",Oc1ccc(C(F)(F)F)cc1,"['CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'FC(F)(F)c1ccc(-c2ccccc2)cc1', 'FC(F)(F)c1ccc(-c2c[nH]nn2)cc1', 'O=P(O)(O)C(Nc1ccc(C(F)(F)F)cc1)P(=O)(O)O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'FC(F)(F)c1ccc(OCC(F)=CCN)cc1', 'CNCCC(Oc1ccccc1)c1ccccc1', 'FC(F)(F)c1ccc(SCCc2c[nH]cn2)cc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'CNCCC(Oc1ccccc1Cl)c1ccccc1', 'CNCCC(Oc1cccc(Cl)c1)c1ccccc1', 'CNCCC(Oc1cc(Cl)ccc1Cl)c1ccccc1', 'NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'c1cc(C(F)(F)F)ccc1OCC(F)=CCN', 'c1c(C(F)(F)F)ccc(OCC(F)=CCN)c1', 'FC(F)(F)c1ccc(-c2ccc(NC(N)=O)cc2)cc1', 'c1c(C(F)(F)F)ccc(OCC(=CCN)F)c1', 'c1cc(C(F)(F)F)ccc1-c1ccc(N)cc1', 'c1c(C(F)(F)F)ccc(-c2ccc(NC(N)=O)cc2)c1', 'c1cc(C(F)(F)F)ccc1-c1ccc(NC(N)=O)cc1']"
0,"[-4.2928705215, -4.3328895569, -4.587688446, -4.610809803, -4.7618169785, -4.8870472908, -4.9132504463, -5.0915145874, -5.1210942268, -5.1734600067, -5.2996139526, -5.3751559258, -5.4477238655, -5.7323470116, -5.9146432877, -6.0672068596, -6.0731220245, -6.4532132149, -6.5210580826, -6.7588319778]",Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,"['CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCCCOCCC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCCCOCCC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCn1cc(C)c(=O)[nH]c1=O', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCn1cc(C)c(=O)[nH]c1=O', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC(CO)OC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCCC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOC[n+]1cn(C)c2ccccc21', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOc1ccc2[nH]c(=O)ccc2c1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCC[n+]1ccc(C(N)=O)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])COCCC[n+]1ccc(C)cc1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCCCOc1ccc2[nH]c(=O)ccc2c1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCCCOCCCCOCCC', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCCOCCCOCCCOCCC']"
0,"[-2.5854606628, -2.9397771358, -2.9530062675, -3.7362787724, -4.4530057907, -4.7052764893, -4.828248024, -4.8285198212, -4.9959945679, -5.0641770363, -5.0865101814, -5.1040177345, -5.1443452835, -5.226088047, -5.32066679, -5.4591298103, -5.5195279121, -5.6355500221, -5.6830134392, -5.733259201]",CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C3CCC(O)C3(C)CCC21', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NC(C)(C)C)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(O)CO)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC(=O)N(C)C)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NCCCC)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NC)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccc(Cl)cc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NCCC)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)N(C)c5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccc(F)cc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)NC5CCCCC5)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C3CCC(O)C(C)(C)C3CCC21', 'CC12CCC3c4ccc(OC(=O)NCCCCCC(=O)NO)cc4CCC3C1CCC2O']"
0,"[-3.3140237331, -3.3270602226, -3.4611227512, -3.8782055378, -4.2244172096, -4.3227043152, -4.3512835503, -4.391330719, -4.7654476166, -4.8198728561, -4.842648983, -5.0719885826, -5.1255569458, -5.1673793793, -5.1947789192, -5.2132554054, -5.3915224075, -5.4392433167, -5.4704837799, -5.5882854462]",CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,"['COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21', 'CCC(CC)COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CC(O)C1C(=O)N2C(C(=O)OCOC(=O)C(CC)CC)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21', 'CCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCOC(=O)C(N)C(C)C)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCO)=C(SC3CC[S+]([O-])C3)SC12', 'COC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C1SC(SC1CC[S+]([O-])C1)=C2C(=O)O', 'CCC(CC)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2N1C(=O)C2C(C)O', 'CC(O)C1C(=O)N2C1SC(SC1CC[S+]([O-])C1)=C2C(=O)OCO', 'CCC(CC)COC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C1SC(SC1CC[S+]([O-])C1)=C2C(=O)OCc1ccccc1', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N21']"
0,"[-2.365003109, -3.6802928448, -4.1316204071, -4.1925120354, -4.5186686516, -4.6778378487, -4.8235340118, -4.9602642059, -5.0312094688, -5.0515756607, -5.0964379311, -5.1892080307, -5.3293704987, -5.3737607002, -5.3953385353, -5.4607338905, -5.7710356712, -5.8266096115, -5.8519763947, -5.8983097076]",CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13,"['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN(C)C(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CCCCCCCCCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CN(C)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)NCc2ccccc2)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(I)cc2)cc13']"
0,"[-1.5100026131, -4.1837720871, -4.2565350533, -4.4595432281, -4.4645185471, -4.4990077019, -4.5486369133, -4.5676903725, -4.6151943207, -4.6658272743, -4.8146700859, -4.8327322006, -4.8664345741, -4.8841915131, -4.8853259087, -4.8911008835, -4.9159684181, -4.9370942116, -4.9493403435, -4.9517345428]",O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,"['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'Clc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'c1(C2=NCC(=O)Nc3ccc(Cl)cc32)ccccc1', 'c1c(C2=NCC(=O)Nc3ccc(Cl)cc32)cccc1', 'C1(c2ccccc2)=NCC(=O)Nc2ccc(Cl)cc21', 'c1cc(C2=NCC(=O)Nc3ccc(Cl)cc32)ccc1', 'c1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'c1cccc(C2=NCC(=O)Nc3ccc(Cl)cc32)c1', 'c1ccccc1C1=NCC(=O)Nc2ccc(Cl)cc21', 'N1=C(c2ccccc2)c2cc(Cl)ccc2NC(=O)C1', 'N1=C(c2ccccc2)c2c(ccc(Cl)c2)NC(=O)C1', 'C1(c2ccccc2)=NCC(=O)Nc2c1cc(Cl)cc2', 'c1c(C2=NCC(=O)Nc3c2cc(Cl)cc3)cccc1', 'c1c2c(cc(Cl)c1)C(c1ccccc1)=NCC(=O)N2', 'c1(C2=NCC(=O)Nc3c2cc(Cl)cc3)ccccc1', 'c1c(Cl)ccc2c1C(c1ccccc1)=NCC(=O)N2', 'c1c2c(ccc1Cl)NC(=O)CN=C2c1ccccc1', 'c1cc(C2=NCC(=O)Nc3c2cc(Cl)cc3)ccc1', 'c1ccc(C2=NCC(=O)Nc3c2cc(Cl)cc3)cc1']"
